date,stock_id,news_id
2025-07-30,HOOD,6763139
2025-07-30,HOOD,6762694
2025-07-30,HOOD,6762706
2025-07-30,HOOD,6760730
2025-07-29,HOOD,6756503
2025-07-29,HOOD,6754941
2025-07-29,HOOD,6754944
2025-07-31,IGV,6769257
2025-07-31,IGV,6769126
2025-07-31,IGV,6769265
2025-07-31,IGV,6769063
2025-07-31,IGV,6769135
2025-07-30,IGV,6768816
2025-07-30,IGV,6768964
2025-07-30,IGV,6768698
2025-07-30,IGV,6768756
2025-07-30,IGV,6768752
2025-07-30,IONQ,6768064
2025-07-30,IONQ,6762791
2025-07-30,IONQ,6761236
2025-07-30,IONQ,6761012
2025-07-29,IONQ,6755959
2025-07-29,IONQ,6755136
2025-07-29,IONQ,6753901
2025-07-29,IONQ,6753603
2025-07-29,IONQ,6752452
2025-07-29,IONQ,6752459
2025-07-30,JOBY,6767082
2025-07-30,JOBY,6766509
2025-07-30,JOBY,6762766
2025-07-29,JOBY,6755148
2025-07-29,JOBY,6752484
2025-07-28,JOBY,6744501
2025-07-28,JOBY,6744095
2025-07-28,JOBY,6743881
2025-07-28,JOBY,6743206
2025-07-28,JOBY,6738853
2025-07-31,NFLX,6769467
2025-07-31,NFLX,6769251
2025-07-31,NFLX,6769003
2025-07-30,NFLX,6768609
2025-07-30,NFLX,6768580
2025-07-30,NFLX,6768352
2025-07-30,NFLX,6767237
2025-07-30,NFLX,6767193
2025-07-30,NFLX,6767096
2025-07-30,NFLX,6766798
2025-07-31,NVDA,6769223
2025-07-30,NVDA,6768816
2025-07-30,NVDA,6768612
2025-07-30,NVDA,6768363
2025-07-30,NVDA,6768223
2025-07-30,NVDA,6767951
2025-07-30,NVDA,6768045
2025-07-30,NVDA,6768010
2025-07-30,NVDA,6768044
2025-07-30,NVDA,6768046
2025-07-30,PLTR,6767107
2025-07-30,PLTR,6766115
2025-07-30,PLTR,6763604
2025-07-30,PLTR,6761116
2025-07-30,PLTR,6761249
2025-07-30,PLTR,6761256
2025-07-30,PLTR,6761262
2025-07-30,PLTR,6761282
2025-07-30,PLTR,6761287
2025-07-30,PLTR,6761295
2025-07-31,QQQ,6769474
2025-07-31,QQQ,6769460
2025-07-31,QQQ,6769467
2025-07-31,QQQ,6769332
2025-07-31,QQQ,6769161
2025-07-31,QQQ,6769157
2025-07-31,QQQ,6769205
2025-07-31,QQQ,6769203
2025-07-31,QQQ,6769233
